ID,Name
2000,Idra Cave
2001,Maya Road
2002,Floating Empire
2003,Leon Karnak
2004,Rune Prana Floor 7
2005,Yokmir Forest
2006,Obsidian Mansion
2007,Water Ruins
2008,Yokmir Cave
2009,Delirium Lava Ruins
2010,Sercerezo Hill
2011,Sechs Territory
2012,Rune Prana
2013,Rune Prana Floor 3
2014,World of Fields
2015,Autumn Road
2016,Forest of Beginnings
2017,Rune Prana Floor 5
2018,Rune Prana Floor 1
2019,Selphia Plain
2020,Summer Area
2021,Rune Prana Floor 2
2022,Cluck-Cluck Nest
2023,Sharance Maze
2024,Revival Cave
2025,Rune Prana Floor 6
2026,Randomly Spawned
2027,Spring Area
2028,Rune Prana Floor 4
2029,Fall and Winter Area
2030,
2031,Demon's Den
2032,Selphia Farm
